,e_enzyme,e_enzyme_composition_string,m_reaction
148,CPLX0-7530,b0241(3),GALBDtex
149,G6700-MONOMER,b1377(1),GALBDtex
150,CPLX0-7534,b0929(3),GALBDtex
151,EG10374-MONOMER,b3447(1),GTHRDHpp
152,PRPPSYN-MONOMER,b1207(1),PRPPS
153,CPDB-MONOMER,b4213(1),23PDE9pp
154,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),MALTTTRabcpp
155,CPLX0-3161,b2472(4),SDPDS
156,CPLX0-7630,b0494(4),LPLIPAL1G161pp
157,FORMYLTHFDEFORMYL-CPLX,b1232(6),FTHFD
158,CPLX0-7533,b2215(3),XTSNtex
159,CPLX0-7530,b0241(3),XTSNtex
160,G6700-MONOMER,b1377(1),XTSNtex
161,CPLX0-7534,b0929(3),XTSNtex
162,ABC-15-CPLX,b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),VALabcpp
163,CPLX0-7533,b2215(3),THMtex
164,CPLX0-7530,b0241(3),THMtex
165,G6700-MONOMER,b1377(1),THMtex
166,CPLX0-7534,b0929(3),THMtex
167,PRPPAMIDOTRANS-CPLX,b2312(4),GLUPRT
168,PGPPHOSPHAB-MONOMER,b1278(1),PGPP180pp
169,PGPPHOSPHAA-MONOMER,b0418(1),PGPP180pp
170,CPLX0-3936,b3058(8),DHNPA2r
171,KDO-8PPHOSPHAT-CPLX,b3198(4),KDOPP
172,EG12455-MONOMER,b2835(1),2AGPG181tipp
173,ORNCARBAMTRANSFERI-CPLX,b4254(3),OCBT
174,ORNCARBAMTRANSFERF-CPLX,b0273(3),OCBT
175,DIHYDROOROTOX-MONOMER,b0945(1),DHORD2
176,DIHYDROOROTOX-MONOMER,b0945(1),DHORD5
177,G6567-MONOMER,b1107(1),AGM4PH
178,EG10041-MONOMER,b0110(1),AGM4PA
179,GMP-SYN-CPLX,b2507(2),GMPS2
180,YDEA-MONOMER,b1528(1),MELIBt3ipp
181,CPLX-171,b0508(2),HPYRI
182,YICE-MONOMER,b3654(1),ADEt2rpp
183,EG11724-MONOMER,b3714(1),ADEt2rpp
184,ABC-22-CPLX,b1245(1) AND b1244(1) AND b1247(1) AND b1246(1) AND b1243(1),4PEPTabcpp
185,GALP-MONOMER,b2943(1),GALt2pp
186,CPLX0-7630,b0494(4),LPLIPAL1E161pp
187,G6567-MONOMER,b1107(1),AGMH
188,AGMATIN-CPLX,b2937(2),AGMT
189,ABC-18-CPLX,b2150(1) AND b2148(2) AND b2149(2),GALabcpp
190,ABC-46-CPLX,b4485(1) AND b4231(1) AND b4227(1) AND b4230(2),GALabcpp
191,NUPG-MONOMER,b2964(1),THMDt2pp
192,NUPC-MONOMER,b2393(1),THMDt2pp
193,EG11350-MONOMER,b3629(1),RHAT1
194,CPLX0-7533,b2215(3),CRNtex
195,CPLX0-7530,b0241(3),CRNtex
196,G6700-MONOMER,b1377(1),CRNtex
197,CPLX0-7534,b0929(3),CRNtex
198,HMP-P-KIN-CPLX,b2103(4),HMPK1
199,PDXK-CPLX,b2418(4),HMPK1
200,CPLX0-7630,b0494(4),LPLIPAL1E140pp
201,EXUT-MONOMER,b3093(1),GLCURt2rpp
202,KDGT-MONOMER,b3909(1),GLCURt2rpp
203,CPLX0-7533,b2215(3),SO4tex
204,CPLX0-7530,b0241(3),SO4tex
205,G6700-MONOMER,b1377(1),SO4tex
206,CPLX0-7534,b0929(3),SO4tex
207,CPLX0-227,b0368(2),TAUDO
208,IDONDEHYD-MONOMER,b4267(1),IDOND2
209,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD2f
210,FMNREDUCT-MONOMER,b3844(1),FE3Ri
211,DEOXYGLUCONOKIN-MONOMER,b3526(1),DDGLK
212,G6520-MONOMER,b1009(1),3AMACHYD
213,CPLX0-7760,b1276(2),ACONTa
214,CPLX0-7761,b0118(2),ACONTa
215,CPLX0-7760,b1276(2),ACONTb
216,CPLX0-7761,b0118(2),ACONTb
217,GPH-MONOMER,b3385(1),PGLYCP
218,ACETOACETYL-COA-TRANSFER-CPLX,b2222(2) AND b2221(2),BUTCT
219,FGAMSYN-MONOMER,b2557(1),PRFGS
220,NUPG-MONOMER,b2964(1),DADNt2pp
221,NUPC-MONOMER,b2393(1),DADNt2pp
222,CPLX0-7533,b2215(3),ARGtex
223,CPLX0-7530,b0241(3),ARGtex
224,G6700-MONOMER,b1377(1),ARGtex
225,CPLX0-7534,b0929(3),ARGtex
226,CPLX0-7533,b2215(3),ETHAtex
227,CPLX0-7530,b0241(3),ETHAtex
228,G6700-MONOMER,b1377(1),ETHAtex
229,CPLX0-7534,b0929(3),ETHAtex
230,GLTP-MONOMER,b4077(1),ASPt2pp
231,ADENYL-KIN-MONOMER,b0474(1),ADNK1
232,CPLX0-7533,b2215(3),23CGMPtex
233,CPLX0-7530,b0241(3),23CGMPtex
234,G6700-MONOMER,b1377(1),23CGMPtex
235,CPLX0-7534,b0929(3),23CGMPtex
236,CPLX0-7533,b2215(3),CLtex
237,CPLX0-7530,b0241(3),CLtex
238,G6700-MONOMER,b1377(1),CLtex
239,CPLX0-7534,b0929(3),CLtex
240,EG10280-MONOMER,b2344(1),TTDCEAtexi
241,CARNRACE-MONOMER,b0036(1),CRNCAR
242,CPLX0-743,b0420(2),DXPS
243,CPLX0-7533,b2215(3),ACSERtex
244,CPLX0-7530,b0241(3),ACSERtex
245,CPLX0-7534,b0929(3),ACSERtex
246,G6700-MONOMER,b1377(1),ACSERtex
247,CPLX0-7843,b0904(5),FORt2pp
248,FOCB-MONOMER,b2492(1),FORt2pp
249,MONOMER0-341,b3821(1),PLIPA2E120pp
250,AMINEOXID-CPLX,b1386(2),42A12BOOXpp
251,DETHIOBIOTIN-SYN-CPLX,b0778(2),DBTS
252,EG11424-MONOMER,b3622(1),O16A4Lpp
253,SIROHEMESYN-CPLX,b3368(2),UPP3MT
254,HEMX-MONOMER,b3803(1),UPP3MT
255,CPLX0-7533,b2215(3),METSOX2tex
256,CPLX0-7530,b0241(3),METSOX2tex
257,G6700-MONOMER,b1377(1),METSOX2tex
258,CPLX0-7534,b0929(3),METSOX2tex
259,MALDEXPHOSPHORYL-CPLX,b3417(2),MLTP1
260,MALDEXPHOSPHORYL-CPLX,b3417(2),MLTP2
261,MALDEXPHOSPHORYL-CPLX,b3417(2),MLTP3
262,UDPGLUCEPIM-CPLX,b0759(2),UDPG4E
263,ABC-56-CPLX,b0934(2) AND b0933(2) AND b0936(),ISETACabcpp
264,ABC-64-CPLX,b0365(1) AND b0366(2) AND b0367(2),ISETACabcpp
265,CPLX0-7533,b2215(3),TTRCYCtex
266,CPLX0-7534,b0929(3),TTRCYCtex
267,CPLX0-7530,b0241(3),TTRCYCtex
268,G6700-MONOMER,b1377(1),TTRCYCtex
269,EG10041-MONOMER,b0110(1),AM3PA
270,CPLX0-7533,b2215(3),ACMANAtex
271,CPLX0-7530,b0241(3),ACMANAtex
272,G6700-MONOMER,b1377(1),ACMANAtex
273,CPLX0-7534,b0929(3),ACMANAtex
274,CPLX0-7533,b2215(3),NOtex
275,CPLX0-7530,b0241(3),NOtex
276,G6700-MONOMER,b1377(1),NOtex
277,CPLX0-7534,b0929(3),NOtex
278,EG10739-MONOMER,b3825(1),LPLIPAL2E160
279,EG10739-MONOMER,b3825(1),LPLIPAL2E161
280,SIROHEMESYN-CPLX,b3368(2),SHCHF
281,TDCC-MONOMER,b3116(1),THRt2rpp
282,G6621-MONOMER,b1192(1),UM4PCP
283,GLUTATHIONE-SYN-CPLX,b2947(4),GTHS
284,MONOMER0-341,b3821(1),PLIPA2A141pp
285,CPLX0-3976_edit,b3785() AND b3793(),ECAP3pp
286,UROGENIIISYN-MONOMER,b3804(1),UPP3S
287,ABC-56-CPLX,b0934(2) AND b0933(2) AND b0936(),ETHSO3abcpp
288,CPLX0-7533,b2215(3),DGSNtex
289,CPLX0-7530,b0241(3),DGSNtex
290,G6700-MONOMER,b1377(1),DGSNtex
291,CPLX0-7534,b0929(3),DGSNtex
292,CPLX0-7533,b2215(3),D_DASH_LACtex
293,CPLX0-7530,b0241(3),D_DASH_LACtex
294,G6700-MONOMER,b1377(1),D_DASH_LACtex
295,CPLX0-7534,b0929(3),D_DASH_LACtex
296,PSERPHOSPHA-MONOMER,b4388(1),PSP_L
297,CARNDEHYDRA-CPLX,b0038(2),CRNBTCT
298,PDXK-CPLX,b2418(4),PYDXK
299,PDXY-MONOMER,b1636(1),PYDXK
300,PGPPHOSPHAB-MONOMER,b1278(1),PGPP161pp
301,PGPPHOSPHAA-MONOMER,b0418(1),PGPP161pp
302,DLACTDEHYDROGFAD-MONOMER,b2133(1),LDH_D2
303,CPLX0-7878,b2373(4),OXCDC
304,CPLX0-7533,b2215(3),UDPGtex
305,CPLX0-7530,b0241(3),UDPGtex
306,G6700-MONOMER,b1377(1),UDPGtex
307,CPLX0-7534,b0929(3),UDPGtex
308,RHAMNULOKIN-MONOMER,b3904(1),RMK
309,CPLX0-7652,b3903(4),RMI
310,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),G3PEabcpp
311,CPLX0-1021,b0331(4),MCITL2
312,NITRATREDUCTA-CPLX,b1227(1) AND b1225(1) AND b1224(1),NO3R2pp
313,NITRATREDUCTZ-CPLX,b1468(1) AND b1465(1) AND b1467(1),NO3R2pp
314,TRYPTOPHAN-CPLX,b3708(4),TRPAS2
315,USHA-MONOMER,b0480(1),UDPGALPpp
316,CYSTATHIONINE-BETA-LYASE-CPLX,b3008(4),CYSDS
317,TRYPTOPHAN-CPLX,b3708(4),CYSDS
318,CPLX0-7533,b2215(3),23DAPPAtex
319,CPLX0-7530,b0241(3),23DAPPAtex
320,G6700-MONOMER,b1377(1),23DAPPAtex
321,CPLX0-7534,b0929(3),23DAPPAtex
322,CPLX0-7533,b2215(3),GLYCtex
323,CPLX0-7530,b0241(3),GLYCtex
324,G6700-MONOMER,b1377(1),GLYCtex
325,CPLX0-7534,b0929(3),GLYCtex
326,MONOMER0-341,b3821(1),PLIPA1G120pp
327,CPLX0-2141,b3265() AND b3035() AND b3266(),INDOLEt2pp
328,G6246-MONOMER,b0446(1),2MAHMP
329,G6580-MONOMER,b1134(1),2MAHMP
330,CPLX0-1941,b1252() AND b3005() AND b0584() AND b3006(),FEENTERtonex
331,CPLX0-7533,b2215(3),MANGLYCtex
332,CPLX0-7530,b0241(3),MANGLYCtex
333,G6700-MONOMER,b1377(1),MANGLYCtex
334,CPLX0-7534,b0929(3),MANGLYCtex
335,CPLX0-7533,b2215(3),SO2tex
336,CPLX0-7530,b0241(3),SO2tex
337,G6700-MONOMER,b1377(1),SO2tex
338,CPLX0-7534,b0929(3),SO2tex
339,DTDPDEHYDRHAMEPIM-MONOMER,b2038(1),TDPDRE
340,CPLX0-7533,b2215(3),12PPDStex
341,CPLX0-7530,b0241(3),12PPDStex
342,G6700-MONOMER,b1377(1),12PPDStex
343,CPLX0-7534,b0929(3),12PPDStex
344,DAPASYN-CPLX,b0774(2),AMAOTr
345,CPLX0-7533,b2215(3),GALURtex
346,CPLX0-7530,b0241(3),GALURtex
347,G6700-MONOMER,b1377(1),GALURtex
348,CPLX0-7534,b0929(3),GALURtex
349,G7517-MONOMER,b2920(1),PPCSCT
350,EG11796-MONOMER,b4386(1),LIPATPT
351,DCTA-MONOMER,b3528(1),ASPt2_2pp
352,CPLX0-7533,b2215(3),23CAMPtex
353,CPLX0-7530,b0241(3),23CAMPtex
354,G6700-MONOMER,b1377(1),23CAMPtex
355,CPLX0-7534,b0929(3),23CAMPtex
356,PYRUVOXID-CPLX,b0871(4),POX
357,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),MALTTRabcpp
358,CPLX0-7704,b0914(2),PA141abcpp
359,CPLX0-7533,b2215(3),DGMPtex
360,CPLX0-7530,b0241(3),DGMPtex
361,G6700-MONOMER,b1377(1),DGMPtex
362,CPLX0-7534,b0929(3),DGMPtex
363,CPLX0-254,b2919(6),MMCD
364,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,b0142(1),HPPK2
365,CPLX0-1667,b2342(),ACACT1r
366,ACETYL-COA-ACETYLTRANSFER-CPLX,b2224(4),ACACT1r
367,FADA-CPLX,b3845(2),ACACT1r
368,DTMPKI-MONOMER,b1098(1),DTMPK
369,6PFK-1-CPX,b3916(4),PFK_3
370,6PFK-1-CPX,b3916(4),PFK_2
371,CPLX0-7533,b2215(3),F6Ptex
372,CPLX0-7530,b0241(3),F6Ptex
373,G6700-MONOMER,b1377(1),F6Ptex
374,CPLX0-7534,b0929(3),F6Ptex
375,NUPG-MONOMER,b2964(1),GSNt2pp
376,CPLX0-1669,b1701(2),FACOAL140t2pp
377,ACYLCOASYN-CPLX,b1805(2),FACOAL140t2pp
378,CPLX0-7533,b2215(3),THMDtex
379,CPLX0-7530,b0241(3),THMDtex
380,G6700-MONOMER,b1377(1),THMDtex
381,CPLX0-7534,b0929(3),THMDtex
382,PSD-MONOMER,b4160(1),PSD140
383,PSD-MONOMER,b4160(1),PSD141
384,GLYCEROL-KIN-CPLX,b3926(4),GLYK
385,EG12455-MONOMER,b2835(1),2AGPE181tipp
386,EG11035-MONOMER,b0411(1),GUAtex
387,EG10280-MONOMER,b2344(1),HDCEAtexi
388,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA161
389,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA160
390,UROGENDECARBOX-MONOMER,b3997(1),UPPDC1
391,CPLX-165,b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1),MANptspp
392,AROD-CPLX,b1693(2),DHQTi
393,ERYTHRON4PDEHYDROG-MONOMER,b2320(1),PERD
394,THREODEHYD-CPLX,b3616(4),THRD
395,LUMAZINESYN-CPLX,b0415(60),RBFSb
396,CPLX0-7533,b2215(3),GSNtex
397,CPLX0-7530,b0241(3),GSNtex
398,G6700-MONOMER,b1377(1),GSNtex
399,CPLX0-7534,b0929(3),GSNtex
400,CPLX0-3952,b1662(3),RBFSa
401,EG10381-MONOMER,b3431(1),GLDBRAN2
402,BRNQ-MONOMER,b0401(1),LEUt2rpp
403,THRESYN-MONOMER,b0004(1),THRS
404,KDGT-MONOMER,b3909(1),DDGLCNt2rpp
405,CYCA-MONOMER,b4208(1),BALAt2pp
406,CPLX0-7719,b0750(2),QULNS
407,ASNSYNA-CPLX,b3744(2),ASNS2
408,ASNSYNB-CPLX,b0674(2),ASNS1
409,CPLX0-7630,b0494(4),LPLIPAL1E120pp
410,PHOSPHASERSYN-CPLX,b2585(),PSSA120
411,LACY-MONOMER,b0343(1),LCTStpp
412,CPLX0-7533,b2215(3),THYMtex
413,G6700-MONOMER,b1377(1),THYMtex
414,CPLX0-7530,b0241(3),THYMtex
415,CPLX0-7534,b0929(3),THYMtex
416,CPLX0-7533,b2215(3),GLYBtex
417,CPLX0-7530,b0241(3),GLYBtex
418,G6700-MONOMER,b1377(1),GLYBtex
419,CPLX0-7534,b0929(3),GLYBtex
420,CPLX0-1669,b1701(2),FACOAL120t2pp
421,ACYLCOASYN-CPLX,b1805(2),FACOAL120t2pp
422,TRKA-MONOMER_SAPD-MONOMER_TRKH-MONOMER,b3849() AND b1291() AND b3290(),Kt2pp
423,KUP-MONOMER,b3747(1),Kt2pp
424,CPLX0-7674,b1250(4),Kt2pp
425,TRKA-MONOMER_SAPD-MONOMER_TRKG-MONOMER,b1363() AND b1291() AND b3290(),Kt2pp
426,MHPT-MONOMER,b0353(1),HCINNMt2rpp
427,ABC-11-CPLX,b0152(1) AND b0151(2) AND b0153(2),FECRMabcpp
428,CPLX0-7533,b2215(3),LALADGLUtex
429,CPLX0-7530,b0241(3),LALADGLUtex
430,CPLX0-7534,b0929(3),LALADGLUtex
431,G6700-MONOMER,b1377(1),LALADGLUtex
432,CPLX0-7533,b2215(3),SELtex
433,CPLX0-7534,b0929(3),SELtex
434,CPLX0-7530,b0241(3),SELtex
435,G6700-MONOMER,b1377(1),SELtex
436,ABC-6-CPLX,b0887(2) AND b0886(2),GTHRDabc2pp
437,EG11985-MONOMER,b2032(1),O16GLCT1
438,EG11035-MONOMER,b0411(1),DCYTtex
439,CPLX0-7704,b0914(2),PE160abcpp
440,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA181
441,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA180
442,CPLX0-7533,b2215(3),GLCNtex
443,CPLX0-7530,b0241(3),GLCNtex
444,G6700-MONOMER,b1377(1),GLCNtex
445,CPLX0-7534,b0929(3),GLCNtex
446,GALPMUT-MONOMER,b2036(1),UDPGALM
447,PHOSGLUCOSAMINEMUT-MONOMER,b3176(1),PGAMT
448,CPLX0-7533,b2215(3),FE2tex
449,CPLX0-7530,b0241(3),FE2tex
450,G6700-MONOMER,b1377(1),FE2tex
451,CPLX0-7534,b0929(3),FE2tex
452,SARCOX-MONOMER,b1059(1),MTRPOX
453,EG12455-MONOMER,b2835(1),2AGPE120tipp
454,YGJE-MONOMER,b3063(1),TARTRt7pp
455,EG12455-MONOMER,b2835(1),2AGPA161tipp
456,UDPGLCNACEPIM-MONOMER,b3786(1),UAG2E
457,UMPKI-CPLX,b0171(6),UMPK
458,CMPKI-MONOMER,b0910(1),UMPK
459,GLUCOSE-1-PHOSPHAT-CPLX,b1002(2),G1PPpp
460,ENTC-MONOMER,b0593(1),ICHORSi
461,CPLX0-7533,b2215(3),5MTRtex
462,CPLX0-7534,b0929(3),5MTRtex
463,CPLX0-7530,b0241(3),5MTRtex
464,G6700-MONOMER,b1377(1),5MTRtex
465,EG12310-MONOMER,b2523(1),AMPTASEPG
466,EG10696-MONOMER,b0932(1),AMPTASEPG
467,CPLX0-3001,b0237(2),AMPTASEPG
468,CPLX0-3061,b4260(6),AMPTASEPG
469,CPLX0-7564,b0029(2),DMPPS
470,CPLX0-7642,b4111(2),GLYBt2pp
471,YEAV-MONOMER,b1801(1),GLYBt2pp
472,APHA-CPLX,b4055(4),NTD3pp
473,USHA-MONOMER,b0480(1),NTD3pp
474,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD3f
475,CPLX0-7533,b2215(3),12PPDRtex
476,CPLX0-7530,b0241(3),12PPDRtex
477,G6700-MONOMER,b1377(1),12PPDRtex
478,CPLX0-7534,b0929(3),12PPDRtex
479,ABC-26-CPLX,b2678(2) AND b2677(2) AND b2679(1),CRNDabcpp
480,EG12013-MONOMER,b2132(1),LACZpp
481,YHFM-MONOMER,b3370(1),FRULYSt2pp
482,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,b3189(1),UAGCVT
483,APHA-CPLX,b4055(4),NTD2pp
484,USHA-MONOMER,b0480(1),NTD2pp
485,CPLX0-7533,b2215(3),PYDXNtex
486,G6700-MONOMER,b1377(1),PYDXNtex
487,CPLX0-7530,b0241(3),PYDXNtex
488,CPLX0-7534,b0929(3),PYDXNtex
489,CPLX0-3943,b1298(2),GGGABAH
490,ANSB-CPLX,b2957(4),GLUNpp
491,CPLX0-7533,b2215(3),DALAtex
492,CPLX0-7530,b0241(3),DALAtex
493,G6700-MONOMER,b1377(1),DALAtex
494,CPLX0-7534,b0929(3),DALAtex
495,RIB5PISOMB-CPLX,b4090(2),ALLPI
496,G6716-MONOMER,b1395(1),HADPCOADH3
497,CTPSYN-CPLX,b2780(4),CTPS2
498,NUPG-MONOMER,b2964(1),URIt2pp
499,NUPC-MONOMER,b2393(1),URIt2pp
500,ABC-49-CPLX,b0831(1) AND b0830(1) AND b0829(2) AND b0832(1),GTHRDabcpp
501,PGPPHOSPHAB-MONOMER,b1278(1),PGPP181
